county,state,weightedSentimentOfTweets,won,percentOfTweets
Honolulu,Hawaii,407.7000,n,4.68
Napa,California,60.9000,n,24.69
Orange,North Carolina,64.2000,n,61.14
San Jacinto,Texas,1.0000,y,2500.00
Merrick,Nebraska,6.7000,y,459.18
Scott,Indiana,0.0000,y,5000.00
Coleman,Texas,8508.4000,y,0.52
Clay,West Virginia,116.9000,y,17.11
Pierce,Washington,26.0000,n,52.68
Pitt,North Carolina,5.1000,n,237.81
Chittenden,Vermont,56.3000,n,20.82
Carteret,North Carolina,-1.0000,y,1224.49
Warren,Ohio,-1.0000,y,0.00
Hamlin,South Dakota,1.0000,y,2500.00
Saginaw,Michigan,0.0000,n,10000.00
Barton,Kansas,147.3000,y,10.90
Volusia,Florida,36.9000,y,43.69
Livingston,New York,8.6000,y,8.16
Middlesex,New Jersey,49.1000,n,37.33
Dorchester,South Carolina,5.7000,y,233.33
Talbot,Maryland,4.6000,n,612.24
Cowley,Kansas,1.0000,y,2500.00
Greenwood,Kansas,11.7000,y,83.95
Searcy,Arkansas,-1.1000,y,2500.00
Halifax,North Carolina,1.0000,n,0.00
Dallas,Iowa,-0.6000,y,1111.11
Finney,Kansas,12.7000,y,7.69
Ontonagon,Michigan,2.3000,y,625.00
Humboldt,California,7.7000,n,375.00
Tompkins,New York,116.7000,n,162.25
Grant,New Mexico,0.0000,n,10000.00
Blount,Alabama,7.1000,y,300.00
Mahoning,Ohio,56.7000,y,21.16
Atlantic,New Jersey,34.1000,n,43.04
Windham,Vermont,7.6000,n,0.00
Allen,Ohio,0.0000,y,10000.00
Cabell,West Virginia,9.2000,y,208.00
Thomas,Kansas,0.0000,y,5000.00
Coles,Illinois,4.0000,y,31.22
Clallam,Washington,6.8000,n,61.73
Schenectady,New York,76.8000,n,15.97
McLean,Illinois,199.0000,n,15.28
Arapahoe,Colorado,-96.8000,n,0.83
Comanche,Oklahoma,3.3000,y,190.97
Henry,Ohio,3.6000,y,0.00
Custer,Nebraska,176.9000,y,8.56
Anoka,Minnesota,13.5000,y,233.20
Imperial,California,10.4000,n,82.64
Rappahannock,Virginia,12.7000,y,247.93
Scotland,North Carolina,1.0000,y,0.00
Pasco,Florida,24.2000,y,86.81
Vernon,Wisconsin,-1.0000,y,2500.00
Berkeley,West Virginia,15.1000,y,66.96
Bethel,Alaska,13.4000,y,32.00
La Crosse,Wisconsin,1.6000,n,1600.00
Henry,Georgia,1004.5000,n,43.87
Richland,Illinois,1.5000,y,1875.00
Plymouth,Massachusetts,4.9000,n,118.75
Toombs,Georgia,1.0000,y,2500.00
Monmouth,New Jersey,2377.9000,y,19.99
Essex,New Jersey,136.5000,n,13.20
Brown,Indiana,0.0000,y,10000.00
Henderson,North Carolina,41.8000,y,25.51
New London,Connecticut,-1.9000,n,370.37
Dawson,Georgia,0.0000,y,10000.00
Will,Illinois,64.5000,n,15.15
Jackson,Oregon,2.0000,y,612.24
Pike,Kentucky,31.1000,y,56.71
Delaware,New York,1.0000,y,0.00
Keweenaw,Michigan,0.0000,y,1250.00
Suffolk,Massachusetts,1981.2000,y,1.25
Bell,Texas,3.6000,y,123.97
Ontario,New York,58.8000,y,4.88
Jefferson,Texas,136.0000,y,87.50
Carroll,Arkansas,0.0000,y,3333.33
Payne,Oklahoma,0.0000,y,10000.00
Muhlenberg,Kentucky,-1.0000,y,2222.22
Ada,Idaho,200.9000,y,6.41
Jewell,Kansas,-0.8000,y,208.00
Davis,Utah,2.2000,y,612.24
Christian,Illinois,0.0000,y,5000.00
Broward,Florida,329.1000,n,2.97
Park,Montana,0.0000,y,1666.67
Hood,Texas,1.1000,y,0.00
Washoe,Nevada,525.7000,n,11.27
Anchorage,Alaska,97.1000,y,30.68
Morgan,Illinois,-2.0000,y,2500.00
Manistee,Michigan,0.0000,y,10000.00
Nez Perce,Idaho,5.2000,y,225.69
Potter,Texas,28.8000,y,103.81
Washington,Texas,-1.0000,y,0.00
Crawford,Michigan,47.6000,y,103.24
Nevada,California,0.0000,n,370.37
Clermont,Ohio,-1.0000,y,0.00
Chickasaw,Iowa,3.3000,y,236.69
Yamhill,Oregon,0.0000,y,10000.00
Powhatan,Virginia,5.1000,y,277.78
Burleson,Texas,3.1000,y,408.16
Wabasha,Minnesota,0.0000,y,2500.00
Shelby,Iowa,1.5000,y,0.00
Davidson,Tennessee,680.0000,n,3.66
Montgomery,Pennsylvania,47.8000,n,35.13
Russell,Alabama,2.0000,n,0.00
Craighead,Arkansas,3.0000,y,127.55
Dubuque,Iowa,0.1000,y,650.89
Sarpy,Nebraska,0.0000,y,2500.00
Hamilton,New York,0.0000,y,1111.11
Grayson,Texas,5.0000,y,339.51
Sheridan,North Dakota,14.5000,y,149.79
Onondaga,New York,85.7000,n,37.79
Jefferson,Louisiana,0.0000,y,1250.00
Pike,Mississippi,0.0000,n,10000.00
Keokuk,Iowa,-1.0000,y,625.00
Polk,Florida,7926.8000,y,0.41
Clark,Nevada,2040.8000,n,1.38
Howard,Indiana,1.1000,y,833.33
Norton,Kansas,40.9000,y,69.44
Columbia,New York,12.9000,n,124.93
Centre,Pennsylvania,2221.2000,n,0.78
Brazoria,Texas,85.7000,y,34.72
San Luis Obispo,California,7.8000,n,195.31
Rowan,Kentucky,0.0000,y,5000.00
Meade,South Dakota,1.0000,y,2222.22
Story,Iowa,338.7000,n,3.77
Fergus,Montana,60.2000,y,21.95
McMinn,Tennessee,0.0000,y,10000.00
Kane,Illinois,16.5000,n,234.38
Lake,Michigan,0.0000,y,1666.67
Madison,Kentucky,8.1000,y,247.93
St. Charles,Missouri,6.5000,y,250.00
Boone,Kentucky,3.1000,y,0.00
Marion,Illinois,0.0000,y,5000.00
Harrison,Iowa,0.0000,y,10000.00
Gallatin,Montana,3.1000,n,201.45
Collin,Texas,72.7000,y,22.82
Jefferson,Kentucky,693.1000,n,5.16
Mesa,Colorado,2.4000,y,308.64
Somerset,New Jersey,111.0000,n,35.05
St. John the Baptist,Louisiana,-0.1000,y,1111.11
Cheatham,Tennessee,0.0000,y,5000.00
Natrona,Wyoming,121.0000,y,12.20
Cumberland,North Carolina,21.9000,n,59.45
Guam,Guam,2.8000,y,625.00
Monona,Iowa,2.0000,y,1111.11
Ottawa,Michigan,2.0000,y,226.76
Lebanon,Pennsylvania,0.0000,y,5000.00
Baldwin,Georgia,0.0000,n,10000.00
Wetzel,West Virginia,-1.1000,y,0.00
Grafton,New Hampshire,0.0000,y,5000.00
Taney,Missouri,1.0000,y,900.00
Cook,Illinois,4908.9000,n,0.45
Lackawanna,Pennsylvania,39.5000,n,82.18
Dakota,Minnesota,202.5000,n,125.87
Wilson,Tennessee,49.2000,y,73.96
Jefferson,Illinois,44.7000,y,54.44
Kerr,Texas,15.1000,y,181.41
Kenai Peninsula,Alaska,7.0000,y,2222.22
Baltimore City,Maryland,252.9000,n,5.87
St. Lucie,Florida,200.1000,y,8.80
Shawnee,Kansas,26.9000,n,92.42
Gadsden,Florida,8.7000,n,83.10
Yauco,Puerto Rico,0.9000,y,0.00
Rutherford,Tennessee,889.4000,y,3.64
Madison,Alabama,31.4000,y,75.74
Washington,Pennsylvania,2.0000,y,833.33
De Witt,Illinois,0.0000,y,10000.00
Washington,Missouri,0.0000,y,476.19
Champaign,Illinois,4.2000,n,123.46
Pike,Illinois,0.0000,y,3333.33
Whitley,Indiana,0.0000,y,10000.00
Allegheny,Pennsylvania,1794.8000,n,2.97
Ingham,Michigan,126.0000,n,22.73
Prince George's,Maryland,190.2000,n,12.46
Monroe,Illinois,-0.7000,y,302.46
Skagit,Washington,3.0000,n,0.00
Addison,Vermont,157.9000,n,1.16
Torrance,New Mexico,127.8000,y,13.53
Garfield,Oklahoma,0.0000,y,555.56
Madison,Iowa,0.0000,y,10000.00
Stone,Missouri,2.0000,y,0.00
Shasta,California,4.3000,y,468.75
Ouachita,Louisiana,-1.1000,y,300.00
Mohave,Arizona,4.1000,y,36.52
Bayamon,Puerto Rico,0.0000,y,10000.00
Carroll,Illinois,-1.1000,y,661.16
Dorchester,Maryland,0.0000,y,1111.11
Spartanburg,South Carolina,4.9000,y,289.26
Ohio,West Virginia,3.6000,y,346.02
Williamson,Texas,13.3000,n,98.62
DeKalb,Georgia,2.0000,n,207.61
Boone,Illinois,-2.0000,y,1250.00
Washington,Maine,6.6000,y,204.08
Harris,Georgia,0.1000,y,0.00
Nueces,Texas,154.6000,y,15.34
Delaware,Ohio,22.1000,y,92.04
Island,Washington,5.1000,n,355.56
